basis_position,l1,l2,L
0,0,0,0
1,0,2,2
2,0,4,4
3,0,6,6
4,2,0,2
5,2,2,0
6,2,2,2
7,2,2,4
8,2,4,2
9,2,4,4
10,2,4,6
11,2,6,4
12,2,6,6
13,2,6,8
14,4,0,4
15,4,2,2
16,4,2,4
17,4,2,6
18,4,4,0
19,4,4,2
20,4,4,4
21,4,4,6
22,4,4,8
23,4,6,2
24,4,6,4
25,4,6,6
26,4,6,8
27,4,6,10
28,6,0,6
29,6,2,4
30,6,2,6
31,6,2,8
32,6,4,2
33,6,4,4
34,6,4,6
35,6,4,8
36,6,4,10
37,6,6,0
38,6,6,2
39,6,6,4
40,6,6,6
41,6,6,8
42,6,6,10
43,6,6,12
44,8,0,8
45,8,2,6
46,8,2,8
47,8,2,10
48,8,4,4
49,8,4,6
50,8,4,8
51,8,4,10
52,8,4,12
53,8,6,2
54,8,6,4
55,8,6,6
56,8,6,8
57,8,6,10
58,8,6,12
59,8,6,14
60,10,0,10
61,10,2,8
62,10,2,10
63,10,2,12
64,10,4,6
65,10,4,8
66,10,4,10
67,10,4,12
68,10,4,14
69,10,6,4
70,10,6,6
71,10,6,8
72,10,6,10
73,10,6,12
74,10,6,14
75,10,6,16
76,12,0,12
77,12,2,10
78,12,2,12
79,12,2,14
80,12,4,8
81,12,4,10
82,12,4,12
83,12,4,14
84,12,4,16
85,12,6,6
86,12,6,8
87,12,6,10
88,12,6,12
89,12,6,14
90,12,6,16
91,12,6,18
92,14,0,14
93,14,2,12
94,14,2,14
95,14,2,16
96,14,4,10
97,14,4,12
98,14,4,14
99,14,4,16
100,14,4,18
101,14,6,8
102,14,6,10
103,14,6,12
104,14,6,14
105,14,6,16
106,14,6,18
107,14,6,20
108,16,0,16
109,16,2,14
110,16,2,16
111,16,2,18
112,16,4,12
113,16,4,14
114,16,4,16
115,16,4,18
116,16,4,20
117,16,6,10
118,16,6,12
119,16,6,14
120,16,6,16
121,16,6,18
122,16,6,20
123,16,6,22
124,18,0,18
125,18,2,16
126,18,2,18
127,18,2,20
128,18,4,14
129,18,4,16
130,18,4,18
131,18,4,20
132,18,4,22
133,18,6,12
134,18,6,14
135,18,6,16
136,18,6,18
137,18,6,20
138,18,6,22
139,18,6,24
140,20,0,20
141,20,2,18
142,20,2,20
143,20,2,22
144,20,4,16
145,20,4,18
146,20,4,20
147,20,4,22
148,20,4,24
149,20,6,14
150,20,6,16
151,20,6,18
152,20,6,20
153,20,6,22
154,20,6,24
155,20,6,26
156,22,0,22
157,24,0,24
