design_position,orientation_id,Theta_1,Theta_2,Phi,leverage
1,328,116.36,93.519999999999996,4.0800000000000001,0.90676326878889602
2,232,88.159999999999997,105.22,164.97999999999999,0.88422490502675666
3,167,61.700000000000003,83.299999999999997,90.299999999999997,0.86208063117142419
4,149,57.859999999999999,78.629999999999995,36.350000000000001,0.8496139235097917
5,218,82.950000000000003,97.209999999999994,87.75,0.81651911222501861
6,50,19.170000000000002,83.870000000000005,18.940000000000001,0.79585806435497153
7,282,101.62,88.480000000000004,172.28,0.79109814790570709
8,411,151.05000000000001,57.079999999999998,13.69,0.78169229901005888
9,423,154.69999999999999,52.109999999999999,177.69,0.77777291692197137
10,159,59.799999999999997,69.359999999999999,175.93000000000001,0.77356747297146899
11,347,129.13,67.069999999999993,61.170000000000002,0.75571946619536057
12,248,92.689999999999998,98.930000000000007,63.630000000000003,0.73065215596173627
13,172,63.210000000000001,106.81999999999999,71.980000000000004,0.73515003507604626
14,302,108.31,69.890000000000001,10.06,0.72543835092744624
15,385,142.38,112.03,162.66999999999999,0.72108388903941067
16,406,150.08000000000001,84.530000000000001,10.52,0.72945485068692784
17,136,52.649999999999999,74.5,5.46,0.71991271752084995
18,318,113.78,71.870000000000005,147.66999999999999,0.72135965885028319
19,331,123.58,86.989999999999995,99.849999999999994,0.70788772307048586
20,153,58.43,68.170000000000002,154.38,0.73023626588030188
21,267,96.930000000000007,40.200000000000003,7.4500000000000002,0.65547482902372112
22,68,27.699999999999999,105.47,60.140000000000001,0.6626734207772953
23,451,165.5,55.240000000000002,166.41,0.66418404151521904
24,303,108.64,84.560000000000002,51.310000000000002,0.6520781226680904
25,352,131.16999999999999,102.37,173.41999999999999,0.67795609218283048
26,280,101.2,79.780000000000001,72,0.66144555652656434
27,92,34.950000000000003,78.069999999999993,11.56,0.63536239920409032
28,383,142.13,92.790000000000006,100.76000000000001,0.62283645627809392
29,314,112.59,77.040000000000006,3.4100000000000001,0.68623890887944272
30,44,16.640000000000001,85.159999999999997,101.47,0.62227955504037946
31,453,165.65000000000001,106.2,176.58000000000001,0.67478536663399136
32,257,95.200000000000003,60.399999999999999,164.84999999999999,0.63971128827995449
33,300,106.58,114.12,33.299999999999997,0.6012433924437548
34,367,136.40000000000001,128.28999999999999,113.84,0.59618496728790582
35,122,48.060000000000002,99.530000000000001,85.379999999999995,0.60447251966423232
36,326,115.94,71.030000000000001,129.03999999999999,0.65759395188836822
37,390,144.75,88.510000000000005,56.93,0.58940006681541912
38,324,115.42,118.2,161.59999999999999,0.63664849470743801
39,230,87.609999999999999,104.61,42.100000000000001,0.63700278567523083
40,360,133.56999999999999,37.079999999999998,2.2799999999999998,0.55414309638099724
41,474,170.19999999999999,66,155.50999999999999,0.60996443809422285
42,126,49.579999999999998,128.90000000000001,30.109999999999999,0.55210907391120034
43,363,134.75999999999999,92.459999999999994,115.88,0.5767265188681262
44,386,142.94999999999999,105.44,35.130000000000003,0.53685349040101715
45,307,109.04000000000001,76.200000000000003,169.38,0.63019010852623514
46,203,74.900000000000006,22.68,22.329999999999998,0.50932814156000727
47,479,173.69999999999999,97.019999999999996,98.420000000000002,0.51786587625138836
48,205,76.239999999999995,36.979999999999997,152.33000000000001,0.51885851262194937
49,105,41.299999999999997,76.969999999999999,149.00999999999999,0.5249935785947788
50,426,156.62,72.219999999999999,101.23,0.50567769776285765
51,270,97.790000000000006,74.680000000000007,126.51000000000001,0.54108642967420739
52,146,56.43,140.18000000000001,5.8700000000000001,0.49847674691931976
53,306,108.88,116.97,59.909999999999997,0.49089592879440691
54,85,33.630000000000003,43.240000000000002,2.5299999999999998,0.46952439417663394
55,179,66.530000000000001,37.159999999999997,15.24,0.47657449744549424
56,330,123.56999999999999,114.59,65.109999999999999,0.45466626388691328
57,243,91.480000000000004,118.48999999999999,157.46000000000001,0.51292494528280308
58,123,48.280000000000001,83.420000000000002,149.03999999999999,0.46698907596130906
59,381,140.41999999999999,122.77,61.310000000000002,0.48799627191402262
60,376,138.75,76.5,178.43000000000001,0.480821844463373
61,275,98.769999999999996,126.56999999999999,20.960000000000001,0.61131065765306691
62,110,42.170000000000002,99.409999999999997,89.629999999999995,0.59571425816255896
63,43,15.67,116.93000000000001,89.290000000000006,0.43178903945398833
64,2,0.39000000000000001,90.099999999999994,145.06999999999999,0.43436416673460998
65,304,108.81999999999999,59.920000000000002,57.100000000000001,0.45542778178538401
66,58,23.629999999999999,118.8,27.77,0.51678418289171013
67,450,164.63999999999999,51.75,2.5699999999999998,0.41257858305632389
68,261,96,121.09,102.90000000000001,0.45747074011551525
69,152,58.060000000000002,46.880000000000003,10.970000000000001,0.42233046225079329
70,162,60.170000000000002,122.13,80.120000000000005,0.4929244804011631
71,290,103.18000000000001,66.260000000000005,32.689999999999998,0.45773545009686833
72,372,137.34,88.969999999999999,6.8399999999999999,0.48842680105863678
73,191,70.879999999999995,161.24000000000001,16.059999999999999,0.4768459363275786
74,142,55.299999999999997,22.559999999999999,171.66,0.43058006533907045
75,439,160.75999999999999,71.379999999999995,137.81999999999999,0.42182911035462051
76,100,38.640000000000001,20.969999999999999,15.33,0.4057359827658763
77,81,31.34,110.8,37.299999999999997,0.39507117559251181
78,446,162.46000000000001,164.25,12.359999999999999,0.41668504159824571
79,420,154.44,152.31999999999999,178.68000000000001,0.38872418364568528
80,165,60.759999999999998,142.06,61.240000000000002,0.40132478858271964
81,384,142.28,41.719999999999999,34.340000000000003,0.44089145809987257
82,25,8.2300000000000004,13.18,167.75,0.3623482454816585
83,69,27.77,85.920000000000002,49.960000000000001,0.47317552505479593
84,355,132.46000000000001,71.629999999999995,135.13999999999999,0.39461595422468693
85,211,79.189999999999998,79.609999999999999,126.88,0.40721267083973695
86,374,138.12,144.77000000000001,84.980000000000004,0.36860380757171796
87,161,60.170000000000002,49.549999999999997,39.82,0.41782355051475978
88,103,40.659999999999997,168.41999999999999,8.6099999999999994,0.37831562827083759
89,54,21.57,71.150000000000006,104.58,0.41799668176638854
90,459,166.47999999999999,68.560000000000002,59.25,0.44834342961544754
91,26,9.1400000000000006,53.840000000000003,167.78,0.40013503884456553
92,305,108.84999999999999,88.030000000000001,29.039999999999999,0.45640946963046564
93,215,81.390000000000001,149.00999999999999,167.49000000000001,0.43196408667677921
94,59,24.140000000000001,40.240000000000002,51.700000000000003,0.35811828347346725
95,135,51.619999999999997,55.700000000000003,68.170000000000002,0.46820265623074342
96,73,28.829999999999998,163.43000000000001,179.53999999999999,0.328874070733289
97,273,97.989999999999995,157,163.96000000000001,0.43632332026752302
98,452,165.59,47.079999999999998,125.52,0.3538321027586645
99,47,17.079999999999998,144.94,53.289999999999999,0.3494316344719004
100,169,62.609999999999999,28.030000000000001,31.109999999999999,0.33967409093551715
101,83,31.789999999999999,138.80000000000001,121.20999999999999,0.33123140426658215
102,186,69.010000000000005,124.12,86.700000000000003,0.35492655643459309
103,412,151.99000000000001,56.039999999999999,82.219999999999999,0.33873420987063896
104,441,160.97999999999999,14.300000000000001,37.619999999999997,0.30655533665932944
105,388,144.38999999999999,126.83,107.47,0.37021908629929229
106,394,146.28,80.579999999999998,20.890000000000001,0.49623180251569293
107,283,101.81999999999999,151.08000000000001,92.560000000000002,0.31614023452503065
108,224,84.680000000000007,43.509999999999998,140.5,0.31407152759038187
109,351,131.00999999999999,44.399999999999999,167.97999999999999,0.27722263573446948
110,353,131.18000000000001,15.73,25.98,0.33187939745072076
111,258,95.459999999999994,49.950000000000003,127.66,0.30005079915659916
112,443,161.59999999999999,90.819999999999993,47.560000000000002,0.35555148165657524
113,281,101.39,58.369999999999997,88.819999999999993,0.2786621877968139
114,354,131.34,23.050000000000001,104.22,0.3466969257459126
115,63,25.239999999999998,49.399999999999999,138.21000000000001,0.36466403967726718
116,323,115.23999999999999,141.5,74.200000000000003,0.27057132301225667
117,118,46.530000000000001,20.329999999999998,20.850000000000001,0.26971502103443806
118,241,91.129999999999995,176.87,145.15000000000001,0.23783178560133783
119,106,41.5,135.62,135.34999999999999,0.29087264636183885
120,410,150.93000000000001,81.799999999999997,149.31999999999999,0.30029005383033369
121,475,170.52000000000001,41.390000000000001,155.09999999999999,0.32488899911670699
122,133,51.439999999999998,40.299999999999997,169.47999999999999,0.50088988557219327
123,288,102.70999999999999,133.63,40.399999999999999,0.25382381648813734
124,227,86.859999999999999,51.170000000000002,80.540000000000006,0.34186442658344229
125,125,49.020000000000003,137.91999999999999,138.72,0.26717592961364345
126,22,6.7999999999999998,73,152.53,0.21790599982141526
127,473,170.15000000000001,25.399999999999999,166.56999999999999,0.24096028121890961
128,329,120.79000000000001,33.609999999999999,124.09999999999999,0.28391352593739433
129,111,42.200000000000003,145.49000000000001,177.43000000000001,0.26141952101630028
130,242,91.390000000000001,147.02000000000001,32.740000000000002,0.29429640844173743
131,134,51.549999999999997,47.229999999999997,111.09,0.29989000701587021
132,407,150.31,20.859999999999999,28.850000000000001,0.33743525983947026
133,157,59.060000000000002,175.83000000000001,136.22999999999999,0.20896432837558349
134,399,148.12,37.469999999999999,55.100000000000001,0.28962528728641251
135,56,23.149999999999999,147.46000000000001,177.56,0.25476198381539372
136,31,10.51,32.950000000000003,105.84,0.25030189577384809
137,486,174.97999999999999,0.77000000000000002,15.789999999999999,0.17101366603235063
138,312,112.38,32.079999999999998,72.469999999999999,0.24101281401715455
139,465,168.09999999999999,116.76000000000001,53.990000000000002,0.38642638971413462
140,408,150.78,65.510000000000005,134.21000000000001,0.30423336370472021
141,236,89.260000000000005,22.77,68.530000000000001,0.24165029129874027
142,279,100.97,176.16,108.53,0.19697136710837843
143,346,129.08000000000001,61.359999999999999,152.12,0.30464422183082407
144,187,69.560000000000002,4.4800000000000004,17.379999999999999,0.1741866154366539
145,52,21.449999999999999,150.08000000000001,88.569999999999993,0.22957544481064365
146,5,1.49,121.09999999999999,69.290000000000006,0.161972280152412
147,173,63.689999999999998,170.38999999999999,35.630000000000003,0.16647290468145964
148,335,124.98,166.38999999999999,9.7599999999999998,0.1945055355327347
149,387,144.16999999999999,153.87,82.319999999999993,0.22540078023207216
150,277,100.17,141,125.18000000000001,0.24080554655711897
151,1,0.35999999999999999,35.409999999999997,66.230000000000004,0.12210288150854566
152,30,10.48,7.5499999999999998,84.170000000000002,0.13260795049655821
153,309,109.56,87.459999999999994,174.33000000000001,0.39553983638390178
154,45,16.969999999999999,73.939999999999998,57.990000000000002,0.38249609354022479
155,46,17.07,36.990000000000002,161.15000000000001,0.38942283465320016
156,414,152.83000000000001,22.399999999999999,69.25,0.13847728468428752
157,371,137.19,55.369999999999997,24.460000000000001,0.37306791521560556
158,102,39.979999999999997,54.399999999999999,91.730000000000004,0.43032419396997029
159,417,153.99000000000001,2.8700000000000001,148.93000000000001,0.16254759291937698
160,396,147.34,124.93000000000001,92.989999999999995,0.22268154477105498
161,219,83.069999999999993,94.060000000000002,32.369999999999997,0.4138024002370328
162,294,105.34,153.09,121.59999999999999,0.14745033504606417
163,49,19.100000000000001,41.950000000000003,5.0199999999999996,0.42540629299445648
164,250,93.319999999999993,122.69,41.719999999999999,0.32121750678160765
165,51,20.739999999999998,61.210000000000001,133.00999999999999,0.36572107098096568
166,168,61.729999999999997,122.84999999999999,44.840000000000003,0.67107166692715081
167,139,54.219999999999999,155.69,78.370000000000005,0.21310609977177403
168,342,126.68000000000001,146.22999999999999,2.4300000000000002,0.31200702049550788
169,202,74.609999999999999,108.70999999999999,61.280000000000001,0.37829053469478946
170,96,36.390000000000001,105.69,123.08,0.39699917925503431
171,292,103.48999999999999,111.58,160.05000000000001,0.57855437554218958
