R,relative_coefficient_error,coefficient_cosine_similarity,projection_deviation_rmse,maximum_projection_deviation,relative_first_derivative_error,relative_second_derivative_error
4.4000000000000004,0.00037563651137493122,0.99999993117408781,13.748237749728405,91.719371959031662,0.0008747741020925725,0.0023261500025555815
4.5999999999999996,0.00020212800672396252,0.9999999798913769,5.2998512934863804,36.065028610861305,0.00067702513387503415,0.0019551912196980252
4.7999999999999998,0.00012156433714935697,0.99999999266591844,2.1824985892733695,14.977056712255761,0.0003392596324565103,0.0013208657568805481
5,8.1759810166383837e-05,0.9999999966655565,0.9533048111554705,6.5202263220266952,0.00019118283794192022,0.00061498723148076099
5.2000000000000002,6.082424491845217e-05,0.99999999815078511,0.41349952855395006,2.7712219402015914,0.00012117300433812833,0.00032673942535186423
5.4000000000000004,5.0039123087539943e-05,0.99999999874824474,0.18714826132907747,1.2072958670331164,8.1956008233580307e-05,0.00020075900232957485
5.5999999999999996,4.7267475394846793e-05,0.99999999888376212,0.09756315115356104,0.55682963531226604,5.8808046103900859e-05,0.00012890140814791261
5.7999999999999998,4.9646752375740301e-05,0.99999999877087598,0.063626620477242032,0.30395440073903568,4.6707866818078313e-05,8.6896116482014981e-05
6,5.8445739418207388e-05,0.9999999983016391,0.047153651869356487,0.18334255355372614,4.0964665673273139e-05,6.7250982315364286e-05
6.2000000000000002,7.4015153677757506e-05,0.99999999727990163,0.035687755662548878,0.14485683349032655,4.4633289765417848e-05,6.3047297468284754e-05
6.4000000000000004,9.130346267809079e-05,0.99999999584699151,0.024733468777584873,0.11800551563033576,6.6747148327268385e-05,7.8717558038774314e-05
6.5999999999999996,9.4313914087225525e-05,0.99999999555513341,0.014758363685846185,0.06081086810134121,0.0001098194698939026,7.2821056827643082e-05
6.7999999999999998,9.3441034970776873e-05,0.99999999564963415,0.010751701877427074,0.045529278429803526,0.00014370854000239413,0.00011119947249894569
7,0.00013572698035095086,0.99999999087746805,0.012286516459879975,0.072069289959993038,0.00013550361784206658,0.00020827822558076812
7.25,0.00020017108607721024,0.99999997999071732,0.012746856742410781,0.076414571062801986,8.1381716025294339e-05,0.00026073807607199717
7.5,0.0001624276288430405,0.9999999868096614,0.0094010171830640633,0.056443883904156653,0.00023780262205158411,0.00014877067687306395
7.75,8.7625464131081836e-05,0.99999999616214241,0.0047855133763677633,0.027997575590783742,0.0003819798074791685,0.00020239856537005642
8,4.3586219182251131e-05,0.99999999905143611,0.0020213728739259156,0.008873204260885675,0.00034633029159128286,0.00037772450628931312
8.5,3.8255620528782592e-05,0.99999999928511774,0.0012109692356448384,0.0049635033045010721,0.00014378217266916378,0.0003864780580315327
9,6.0661243073817118e-05,0.99999999818011476,0.0014444283354682038,0.0058583802872375209,5.9522090366925609e-05,0.00037810649277829491
9.5,6.5254952491956112e-05,0.99999999790224137,0.00097661841740456562,0.0041514780798817714,8.2916205118307515e-05,0.00022863800349400121
10,6.150690156622935e-05,0.99999999814653739,0.000786476020979436,0.0034227236718757182,0.00011808038461653438,0.00018336979361889585
11,7.3212946935695725e-05,0.99999999733839107,0.00042910157852708511,0.0015676137792626252,0.00010190911784253745,0.00019237583894952237
12,7.8984652976931411e-05,0.99999999688081587,0.0003495511371762238,0.0012214191179566001,0.00012649002219787582,0.00017582043737566637
13,0.00013468416584776454,0.99999999097637338,0.00030607700499359579,0.0010530741890074121,0.00014570523459401502,0.00025608534717607307
14,0.00016663267734947569,0.9999999861220833,0.00028863703111456661,0.0010457838887100806,0.00028747024364647378,0.00039850512525505227
15,0.00024026094957739635,0.99999997113744266,0.00024521004008192361,0.0012329662846449372,0.00048271019845431387,0.00056029055418057303
20,0.0006744394807633344,0.99999977472614676,0.00014344165032121147,0.00056695222313023327,0.00030746748428306668,0.00063543002298471795
30,8.995054046838087e-05,0.99999999599944378,4.9454193656848371e-06,1.9186127867040445e-05,0.00055631160988102999,0.00031162785455746508
40,9.0269146621460347e-05,0.99999999592584865,4.8073295461014686e-06,1.9343235403321813e-05,0.00034002656196721609,0.00068663907845107556
